No.,Channel Name,Channel Type,RX Frequency[MHz],TX Frequency[MHz],Power,Band Width,Scan List,TX Admit,Emergency System,Squelch Level,APRS Report Type,Forbid TX,APRS Receive,Forbid Talkaround,Auto Scan,Lone Work,Emergency Indicator,Emergency ACK,Analog APRS PTT Mode,Digital APRS PTT Mode,TX Contact,RX Group List,Color Code,Time Slot,Encryption,Encryption ID,APRS Report Channel,Direct Dual Mode,Private Confirm,Short Data Confirm,DMR ID,CTC/DCS Decode,CTC/DCS Encode,Scramble,RX Squelch Mode,Signaling Type,PTT ID,VOX Function,PTT ID Display
1,Botkyrka 2 U,Digital,434.87500,432.87500,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,None,None,None,Carrier/CTC,None,OFF,0,0
2,Brottby 1 V,Analog,145.65000,145.05000,High,12.5KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,77.0,77.0,None,Carrier/CTC,None,OFF,0,0
3,Brottby 2 U,Analog,434.80000,432.80000,High,12.5KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,77.0,77.0,None,Carrier/CTC,None,OFF,0,0
4,Dalaro U,Digital,434.83750,432.83750,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,None,None,None,Carrier/CTC,None,OFF,0,0
5,Hagsatra UL,Analog,434.42500,434.42500,High,12.5KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,91.5,91.5,None,Carrier/CTC,None,OFF,0,0
6,Haninge 1 V,Analog,145.68750,145.08750,High,12.5KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,77.0,77.0,None,Carrier/CTC,None,OFF,0,0
7,Haninge 2 U,Analog,434.75000,432.75000,High,12.5KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,77.0,77.0,None,Carrier/CTC,None,OFF,0,0
8,Haninge 3 U,Analog,434.77500,432.77500,High,12.5KHz,None,Allow TX,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,77.0,77.0,None,Carrier/CTC,None,OFF,0,0
9,Haninge 4 U,Digital,434.63750,432.63750,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,None,None,None,Carrier/CTC,None,OFF,0,0
10,Haninge 5 U,Digital,434.56250,432.56250,High,12.5KHz,None,Always,None,3,Off,0,0,0,0,0,0,0,0,0,Regional SM0,Default,0,Slot 2,0,None,1,0,0,0,N0CALL,None,None,None,Carrier/CTC,None,OFF,0,0
