No.,Name,ID,Type
1,BM Parrot,9990,Private Call
2,Bornhack,23824,Group Call
3,Chaoswelle,26223,Group Call
4,Cluster 1,8,Group Call
5,Cluster 2,7,Group Call
6,Connector,9998,Group Call
7,DC7IA Joshua,2624308,Private Call
8,DCS010B,240240,Group Call
9,DCS010D,2410,Group Call
10,DCS010V,2415,Group Call
11,Denmark,238,Group Call
12,Disconnect,4000,Group Call
13,English,913,Group Call
14,Europe,92,Group Call
15,European English,923,Group Call
16,Finland,244,Group Call
17,Germany,262,Group Call
18,IP address,9997,Group Call
19,JOTA,907,Group Call
20,JOTA SE,240907,Group Call
21,JOTA Tac 1,9071,Group Call
22,JOTA Tac 2,9072,Group Call
23,JOTA Tac 3,9073,Group Call
24,JOTA Tac 4,9074,Group Call
25,JOTA Tac 5,9075,Group Call
26,JOTA Tac 6,9076,Group Call
27,JOTA Tac 7,9077,Group Call
28,JOTA Tac 8,9078,Group Call
29,Local,9,Group Call
30,Local2,99,Group Call
31,Netherlands,204,Group Call
32,Nordic,927,Group Call
33,Normiraringen,24099,Group Call
34,Norway,242,Group Call
35,OZ3MT Martin,2384315,Private Call
36,Radio Test,98,Group Call
37,Regional SM0,2400,Group Call
38,Regional SM1,2401,Group Call
39,Regional SM2,2402,Group Call
40,Regional SM3,2403,Group Call
41,Regional SM4,2404,Group Call
42,Regional SM5,2405,Group Call
43,Regional SM6,2406,Group Call
44,Regional SM7,2407,Group Call
45,Robost Packet,24098,Group Call
46,SA0BSE Elis,2400302,Private Call
47,SA0KDR Kenneth,2400256,Private Call
48,SA7DSE David,2407321,Private Call
49,SA7FSE Franz,2407326,Private Call
50,SA7GGO Gustav,2407259,Private Call
51,SA7KSE Konrad,2407316,Private Call
52,SA7SSE Simon,2407284,Private Call
53,SK0AR,2400911,Private Call
54,SK7RFL,240721,Group Call
55,SM Openspot,240888,Group Call
56,SM Tac 1,2411,Group Call
57,SM Tac 2,2412,Group Call
58,SM XIL,24080,Group Call
59,SM0DXG Anders,2400229,Private Call
60,SM0IWP Tomas,2400313,Private Call
61,SM0RGM Stefan,2400278,Private Call
62,SM0RUX Pontus,2400029,Private Call
63,SM0XMX Ronny,2400059,Private Call
64,SOTA,973,Group Call
65,Sweden,240,Group Call
66,Sweden-hub,240216,Group Call
67,Swedenlink,2416,Group Call
68,Swedish,924,Group Call
69,W8IRC IRC Chat,98004,Group Call
70,World-wide,91,Group Call
